cik,name,entityType,sic,sicDescription,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,phone,flags,mailing_street1,mailing_street2,mailing_city,mailing_stateOrCountry,mailing_zipCode,mailing_stateOrCountryDescription,business_street1,business_street2,business_city,business_stateOrCountry,business_zipCode,business_stateOrCountryDescription,naics,stable 12 to 24,extended tickers
1024478,"ROCKWELL AUTOMATION, INC",operating,3829.0,"Measuring & Controlling Devices, NEC",08 Industrial Applications and Services,0,1,ROK,NYSE,251797617.0,,,,Large accelerated filer,930.0,DE,DE,414-382-2000,,1201 SOUTH 2ND STREET,,MILWAUKEE,WI,53204,WI,1201 SOUTH 2ND STREET,,MILWAUKEE,WI,53204,WI,"339112,334514,334519",True,ROK
1013462,ANSYS INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,ANSS,Nasdaq,43219960.0,,,,Large accelerated filer,1231.0,DE,DE,8444626797,,"2600 ANSYS DRIVE, SOUTHPOINTE",,CANONSBURG,PA,15317,PA,"2600 ANSYS DRIVE, SOUTHPOINTE",,CANONSBURG,PA,15317,PA,"511210,334614",False,ANSS
1002047,"NetApp, Inc.",operating,3572.0,Computer Storage Devices,06 Technology,0,1,NTAP,Nasdaq,770307520.0,,,,Large accelerated filer,426.0,CA,CA,4088226000,,3060 OLSEN DRIVE,,SAN JOSE,CA,95128,CA,3060 OLSEN DRIVE,,SAN JOSE,CA,95128,CA,334112,True,NTAP
1967680,Veralto Corp,operating,3825.0,Instruments For Meas & Testing of  Electricity & Elec Signals,08 Industrial Applications and Services,0,1,VLTO,NYSE,921941413.0,,,,Non-accelerated filer,1231.0,X1,X1,7817553655,,225 WYMAN ST.,SUITE 250,WALTHAM,MA,02451,MA,225 WYMAN ST.,SUITE 250,WALTHAM,MA,02451,MA,"334514,334515",False,VLTO
946581,TAKE TWO INTERACTIVE SOFTWARE INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,TTWO,Nasdaq,510350842.0,,,,Large accelerated filer,331.0,DE,DE,646 536 2842,,110 WEST 44TH STREET,,NEW YORK,NY,10036,NY,110 WEST 44TH STREET,,NEW YORK,NY,10036,NY,"511210,334614",False,TTWO
860731,TYLER TECHNOLOGIES INC,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,TYL,NYSE,752303920.0,,,,Large accelerated filer,1231.0,DE,DE,9727133700,,5101 TENNYSON PKWY,,PLANO,TX,75024,TX,5101 TENNYSON PKWY,,PLANO,TX,75024,TX,"511210,334614",False,TYL
29905,DOVER Corp,operating,3530.0,"Construction, Mining & Materials Handling Machinery & Equip",06 Technology,1,1,DOV,NYSE,530257888.0,,,,Large accelerated filer,1231.0,DE,DE,(630) 541-1540,,3005 HIGHLAND PARKWAY,SUITE 200,DOWNERS GROVE,IL,60515,IL,3005 HIGHLAND PARKWAY,SUITE 200,DOWNERS GROVE,IL,60515,IL,333131,True,DOV
1645590,Hewlett Packard Enterprise Co,operating,3570.0,Computer & office Equipment,06 Technology,1,1,"HPE,HPE-PC","NYSE,NYSE",473298624.0,,,,Large accelerated filer,1031.0,DE,DE,678-259-9860,,1701 E MOSSY OAKS ROAD,,SPRING,TX,77389,TX,1701 E MOSSY OAKS ROAD,,SPRING,TX,77389,TX,"334112,334111",False,"HPE,HPE-PC"
1659166,Fortive Corp,operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,1,1,FTV,NYSE,0.0,,,,Large accelerated filer,1231.0,DE,DE,(425) 446-5000,,6920 SEAWAY BLVD.,,EVERETT,WA,98203,WA,6920 SEAWAY BLVD.,,EVERETT,WA,98203,WA,334513,False,FTV
1274494,"FIRST SOLAR, INC.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,FSLR,Nasdaq,204623678.0,,,,Large accelerated filer,1231.0,DE,DE,(602) 414-9300,,350 WEST WASHINGTON STREET,SUITE 600,TEMPE,AZ,85288,AZ,350 WEST WASHINGTON STREET,SUITE 600,TEMPE,AZ,85288,AZ,334413,False,FSLR
1601046,"Keysight Technologies, Inc.",operating,3823.0,"Industrial Instruments For Measurement, Display, and Control",08 Industrial Applications and Services,0,1,KEYS,NYSE,464254555.0,,,,Large accelerated filer,1031.0,DE,DE,8774244536,,1400 FOUNTAINGROVE PARKWAY,,SANTA ROSA,CA,95403,CA,1400 FOUNTAINGROVE PARKWAY,,SANTA ROSA,CA,95403,CA,334513,False,KEYS
1609711,GoDaddy Inc.,operating,7373.0,Services-Computer Integrated Systems Design,06 Technology,0,1,GDDY,NYSE,465769934.0,,,,Large accelerated filer,1231.0,DE,DE,(480) 505-8800,,100 S. MILL AVE,SUITE 1600,TEMPE,AZ,85281,AZ,100 S. MILL AVE,SUITE 1600,TEMPE,AZ,85281,AZ,541512,False,GDDY
97210,"TERADYNE, INC",operating,3825.0,Instruments For Meas & Testing of  Electricity & Elec Signals,08 Industrial Applications and Services,0,1,TER,Nasdaq,42272148.0,,,,Large accelerated filer,1231.0,MA,MA,978-370-2700,,600 RIVERPARK DRIVE,,NORTH READING,MA,01864,MA,600 RIVERPARK DRIVE,,NORTH READING,MA,01864,MA,"334514,334515",False,TER
1137789,Seagate Technology Holdings plc,operating,3572.0,Computer Storage Devices,06 Technology,1,1,STX,Nasdaq,981597419.0,,,,Large accelerated filer,628.0,,,65 6412 5172,,121 WOODLANDS AVENUE 5,,SINGAPORE,U0,739009,Singapore,121 WOODLANDS AVENUE 5,,SINGAPORE,U0,739009,Singapore,334112,False,STX
106040,WESTERN DIGITAL CORP,operating,3572.0,Computer Storage Devices,06 Technology,0,1,WDC,Nasdaq,330956711.0,,,,Large accelerated filer,703.0,DE,DE,9496727000,,3355 MICHELSON DRIVE SUITE 100,,IRVINE,CA,92612,CA,5601 GREAT OAKS PARKWAY,,SAN JOSE,CA,95119,CA,334112,True,WDC
857005,PTC INC.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,PTC,Nasdaq,42866152.0,,,,Large accelerated filer,930.0,MA,MA,7813705000,,121 SEAPORT BOULEVARD,,BOSTON,MA,02210,MA,121 SEAPORT BOULEVARD,,BOSTON,MA,02210,MA,"511210,334614",False,PTC
48898,HUBBELL INC,operating,3670.0,Electronic Components & Accessories,04 Manufacturing,0,1,HUBB,NYSE,60397030.0,,,,Large accelerated filer,1231.0,CT,CT,2037994100,,40 WATERVIEW DR,,SHELTON,CT,06484-1000,CT,40 WATERVIEW DR,,SHELTON,CT,06484-1000,CT,"339940,333318,334519",False,HUBB
1336920,"Leidos Holdings, Inc.",operating,7373.0,Services-Computer Integrated Systems Design,06 Technology,1,1,LDOS,NYSE,203562868.0,,,,Large accelerated filer,103.0,,,571-526-6000,,1750 PRESIDENTS STREET,,RESTON,VA,20190,VA,1750 PRESIDENTS STREET,,RESTON,VA,20190,VA,541512,False,LDOS
1437107,"Warner Bros. Discovery, Inc.",operating,4841.0,Cable & Other Pay Television Services,06 Technology,1,1,WBD,Nasdaq,352333914.0,,,,Large accelerated filer,1231.0,DE,DE,212-548-5555,,230 PARK AVENUE SOUTH,,NEW YORK,NY,10003,NY,230 PARK AVENUE SOUTH,,NEW YORK,NY,10003,NY,"515210,517311",False,WBD
877212,ZEBRA TECHNOLOGIES CORP,operating,3560.0,General Industrial Machinery & Equipment,06 Technology,0,1,ZBRA,Nasdaq,362675536.0,,,,Large accelerated filer,1231.0,,,847-634-6700,,3 OVERLOOK POINT,,LINCOLNSHIRE,IL,60069,IL,3 OVERLOOK POINT,,LINCOLNSHIRE,IL,60069,IL,"314999,333414,333999",False,ZBRA
1754301,Fox Corp,operating,4833.0,Television Broadcasting Stations,06 Technology,0,1,"FOXA,FOX","Nasdaq,Nasdaq",0.0,,,,Large accelerated filer,630.0,DE,DE,212.852.7000,,1211 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,NY,1211 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,NY,515120,True,"FOX,FOXA"
1014473,VERISIGN INC/CA,operating,7371.0,Services-Computer Programming Services,06 Technology,0,1,VRSN,Nasdaq,943221585.0,,,,Large accelerated filer,1231.0,DE,DE,7039483200,,12061 BLUEMONT WAY,ATTN: GENERAL COUNSEL,RESTON,VA,20190,VA,12061 BLUEMONT WAY,ATTN: GENERAL COUNSEL,RESTON,VA,20190,VA,541511,True,VRSN
4127,"SKYWORKS SOLUTIONS, INC.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,1,1,SWKS,Nasdaq,42302115.0,,,,Large accelerated filer,927.0,DE,DE,9492313000,,5260 CALIFORNIA AVENUE,,IRVINE,CA,92617,CA,5260 CALIFORNIA AVENUE,,IRVINE,CA,92617,CA,334413,False,SWKS
1463101,"Enphase Energy, Inc.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,ENPH,Nasdaq,204645388.0,,,,Large accelerated filer,1231.0,DE,DE,(707) 763-4784,,47281 BAYSIDE PARKWAY,,FREMONT,CA,94538,CA,47281 BAYSIDE PARKWAY,,FREMONT,CA,94538,CA,334413,False,ENPH
1013237,FACTSET RESEARCH SYSTEMS INC,operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,FDS,NYSE,133362547.0,,,,Large accelerated filer,831.0,DE,DE,2038101000,,45 GLOVER AVENUE,,NORWALK,CT,06850,CT,45 GLOVER AVENUE,,NORWALK,CT,06850,CT,"518210,541511",False,FDS
849399,Gen Digital Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,1,1,GEN,Nasdaq,770181864.0,,,,Large accelerated filer,328.0,DE,DE,650-527-2900,,60 E RIO SALADO PARKWAY,SUITE 1000,TEMPE,AZ,85281,AZ,60 E RIO SALADO PARKWAY,SUITE 1000,TEMPE,AZ,85281,AZ,"511210,334614",False,GEN
832101,IDEX CORP /DE/,operating,3561.0,Pumps & Pumping Equipment,06 Technology,1,1,IEX,NYSE,363555336.0,,,,Large accelerated filer,1231.0,DE,DE,8474987070,,3100 SANDERS ROAD,SUITE 301,NORTHBROOK,IL,60062,IL,3100 SANDERS ROAD,SUITE 301,NORTHBROOK,IL,60062,IL,333914,False,IEX
77360,PENTAIR plc,operating,3550.0,Special Industry Machinery (No Metalworking Machinery),06 Technology,0,1,PNR,NYSE,981050812.0,,,,Large accelerated filer,1231.0,L2,Ireland,763-545-1730,,C/O PENTAIR MANAGEMENT COMPANY,"5500 WAYZATA BLVD, SUITE 900",GOLDEN VALLEY,MN,55416,MN,"REGAL HOUSE, 70 LONDON ROAD",TWICKENHAM,LONDON,X0,TW13QS,United Kingdom,"333242,333249,333318,333111,332410",False,PNR
72331,NORDSON CORP,operating,3569.0,"General Industrial Machinery & Equipment, NEC",06 Technology,0,1,NDSN,Nasdaq,340590250.0,,,,Large accelerated filer,1031.0,OH,OH,4408921580,,28601 CLEMENS ROAD,,WESTLAKE,OH,44145,OH,28601 CLEMENS RD,,WESTLAKE,OH,44145,OH,"333999,333414,314999",False,NDSN
864749,TRIMBLE INC.,operating,3829.0,"Measuring & Controlling Devices, NEC",08 Industrial Applications and Services,0,1,TRMB,Nasdaq,942802192.0,,,,Large accelerated filer,103.0,DE,DE,(720) 887-6100,,10368 WESTMOOR DR,,WESTMINSTER,CO,80021,CO,10368 WESTMOOR DR,,WESTMINSTER,CO,80021,CO,"339112,334514,334519",False,TRMB
1043604,JUNIPER NETWORKS INC,operating,3576.0,Computer Communications Equipment,06 Technology,1,1,JNPR,NYSE,770422528.0,,,,Large accelerated filer,1231.0,DE,DE,4087452000,,1133 INNOVATION WAY,,SUNNYVALE,CA,94089,CA,1133 INNOVATION WAY,,SUNNYVALE,CA,94089,CA,"334112,333316,334118,333318,334111",True,JNPR
779152,JACK HENRY & ASSOCIATES INC,operating,7373.0,Services-Computer Integrated Systems Design,06 Technology,0,1,JKHY,Nasdaq,431128385.0,,,,Large accelerated filer,630.0,DE,DE,4172356652,,PO BOX 807,663 HWY 60,MONETT,MO,65708-0807,MO,PO BOX 807,663 HWY 60,MONETT,MO,65708-0807,MO,541512,False,JKHY
1681459,TechnipFMC plc,operating,3533.0,Oil & Gas Field Machinery & Equipment,06 Technology,0,1,FTI,NYSE,981283037.0,,,,Large accelerated filer,1231.0,X0,United Kingdom,44 191 295 0303,,HADRIAN HOUSE,WINCOMBLEE ROAD,NEWCASTLE UPON TYNE,X0,NE6 3PL,United Kingdom,HADRIAN HOUSE,WINCOMBLEE ROAD,NEWCASTLE UPON TYNE,X0,NE6 3PL,United Kingdom,333132,False,FTI
1352010,"EPAM Systems, Inc.",operating,7371.0,Services-Computer Programming Services,06 Technology,0,1,EPAM,NYSE,223536104.0,,,,Large accelerated filer,1231.0,DE,DE,(267) 759-9000,,41 UNIVERSITY DRIVE,SUITE 202,NEWTOWN,PA,18940,PA,41 UNIVERSITY DRIVE,SUITE 202,NEWTOWN,PA,18940,PA,541511,False,EPAM
1048695,"F5, INC.",operating,3576.0,Computer Communications Equipment,06 Technology,0,1,FFIV,Nasdaq,911714307.0,,,,Large accelerated filer,930.0,WA,WA,2062725555,,801 5TH AVENUE,,SEATTLE,WA,98104,WA,801 5TH AVENUE,,SEATTLE,WA,98104,WA,"334112,333316,334118,333318,334111",True,FFIV
216228,ITT INC.,operating,3561.0,Pumps & Pumping Equipment,06 Technology,1,1,ITT,NYSE,811197930.0,,,,Large accelerated filer,1231.0,,,914.641.2000,,100 WASHINGTON BLVD,6TH FLOOR,STAMFORD,CT,06902,CT,100 WASHINGTON BLVD,6TH FLOOR,STAMFORD,CT,06902,CT,333914,False,ITT
1604778,"Qorvo, Inc.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,QRVO,Nasdaq,465288992.0,,,,Large accelerated filer,329.0,DE,DE,(336) 664-1233,,7628 THORNDIKE ROAD,,GREENSBORO,NC,27409,NC,7628 THORNDIKE ROAD,,GREENSBORO,NC,27409,NC,334413,False,QRVO
46080,"HASBRO, INC.",operating,3944.0,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)",04 Manufacturing,0,1,HAS,Nasdaq,50155090.0,,,,Large accelerated filer,1229.0,RI,RI,4014318697,,200 NARRAGANSETT PARK DRIVE,,PAWTUCKET,RI,02861-0200,RI,1027 NEWPORT AVE,P O BOX 1059,PAWTUCKET,RI,02861,RI,"339930,336991",True,HAS
1590955,"Paycom Software, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,PAYC,NYSE,800957485.0,,,,Large accelerated filer,1231.0,DE,DE,(405) 722-6900,,7501 W. MEMORIAL ROAD,,OKLAHOMA CITY,OK,73142,OK,7501 W. MEMORIAL ROAD,,OKLAHOMA CITY,OK,73142,OK,"511210,334614",False,PAYC
891103,"Match Group, Inc.",operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,1,1,MTCH,Nasdaq,592712887.0,,,,Large accelerated filer,1231.0,DE,DE,2145769352,,8750 NORTH CENTRAL EXPRESSWAY,SUITE 1400,DALLAS,TX,75231,TX,8750 NORTH CENTRAL EXPRESSWAY,SUITE 1400,DALLAS,TX,75231,TX,"518210,541511",False,MTCH
1725057,"Dayforce, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,DAY,NYSE,463231686.0,,,,Large accelerated filer,1231.0,DE,DE,952-853-8100,,3311 EAST OLD SHAKOPEE ROAD,,MINNEAPOLIS,MN,55425,MN,3311 EAST OLD SHAKOPEE ROAD,,MINNEAPOLIS,MN,55425,MN,"511210,334614",False,DAY
813828,Paramount Global,operating,4833.0,Television Broadcasting Stations,06 Technology,1,1,"PARA,PARAA","Nasdaq,Nasdaq",42949533.0,,,,Large accelerated filer,1231.0,DE,DE,212-258-6000,,1515 BROADWAY,,NEW YORK,NY,10036,NY,1515 BROADWAY,,NEW YORK,NY,10036,NY,515120,False,"PARAA,PARA"
936395,CIENA CORP,operating,3661.0,Telephone & Telegraph Apparatus,04 Manufacturing,1,1,CIEN,NYSE,232725311.0,,,,Large accelerated filer,1102.0,DE,DE,4108658500,,7035 RIDGE ROAD,,HANOVER,MD,21076,MD,7035 RIDGE ROAD,,HANOVER,MD,21076,MD,"334210,334418",False,CIEN
1701732,Altair Engineering Inc.,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,ALTR,Nasdaq,382591828.0,,,,Large accelerated filer,1231.0,DE,DE,248-614-2400,,1820 E. BIG BEAVER ROAD,,TROY,MI,48083,MI,1820 E. BIG BEAVER ROAD,,TROY,MI,48083,MI,"511210,334614",False,ALTR
1144215,ACUITY BRANDS INC,operating,3640.0,Electric Lighting & Wiring Equipment,04 Manufacturing,1,1,AYI,NYSE,582632672.0,,,,Large accelerated filer,831.0,DE,DE,404-853-1400,,1170 PEACHTREE STREET NE,SUITE 1200,ATLANTA,GA,30309,GA,1170 PEACHTREE STREET NE,SUITE 1200,ATLANTA,GA,30309,GA,"335121,335122",False,AYI
1583708,"SentinelOne, Inc.",operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,S,NYSE,990385461.0,,,,Large accelerated filer,131.0,DE,DE,855-868-3733,,444 CASTRO STREET,SUITE 400,MOUNTAIN VIEW,CA,94041,CA,444 CASTRO STREET,SUITE 400,MOUNTAIN VIEW,CA,94041,CA,"511210,334614",False,"S*,S"
1021860,NOV Inc.,operating,3533.0,Oil & Gas Field Machinery & Equipment,06 Technology,1,1,NOV,NYSE,760475815.0,,,,Large accelerated filer,1231.0,DE,DE,346-223-3000,,10353 RICHMOND AVE.,,HOUSTON,TX,77042,TX,10353 RICHMOND AVE.,,HOUSTON,TX,77042,TX,333132,False,NOV
1720671,"HashiCorp, Inc.",operating,7371.0,Services-Computer Programming Services,06 Technology,0,1,HCP,Nasdaq,320410665.0,,,,Large accelerated filer,131.0,DE,DE,415-301-3227,,"101 2ND STREET, SUITE 700",,SAN FRANCISCO,CA,94105,CA,"101 2ND STREET, SUITE 700",,SAN FRANCISCO,CA,94105,CA,541511,False,HCP
30625,FLOWSERVE CORP,operating,3561.0,Pumps & Pumping Equipment,06 Technology,0,1,FLS,NYSE,310267900.0,,,,Large accelerated filer,1231.0,NY,NY,9724436500,,5215 N. O'CONNOR BLVD.,SUITE 700,IRVING,TX,75039,TX,5215 N. O'CONNOR BLVD.,SUITE 700,IRVING,TX,75039,TX,333914,False,FLS
18926,"Lumen Technologies, Inc.",operating,4813.0,Telephone Communications (No Radiotelephone),06 Technology,1,1,LUMN,NYSE,720651161.0,,,,Large accelerated filer,1231.0,LA,LA,3183889000,,100 CENTURYLINK DR,P O BOX 4065,MONROE,LA,71203,LA,P O BOX 4065,100 CENTURYLINK DR,MONROE,LA,71203,LA,"517911,517311",False,LUMN
1688568,DXC Technology Co,operating,7374.0,Services-Computer Processing & Data Preparation,06 Technology,1,1,DXC,NYSE,611800317.0,,,,Large accelerated filer,331.0,NV,NV,7032459675,,20408 BASHAN DRIVE,SUITE 231,ASHBURN,VA,20147,VA,20408 BASHAN DRIVE,SUITE 231,ASHBURN,VA,20147,VA,518210,False,DXC
1819928,"DoubleVerify Holdings, Inc.",operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,DV,NYSE,822714562.0,,,,Large accelerated filer,1231.0,DE,DE,212-631-2111,,462 BROADWAY,,NEW YORK,NY,10013,NY,462 BROADWAY,,NEW YORK,NY,10013,NY,"518210,541511",False,DV
1111928,IPG PHOTONICS CORP,operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,IPGP,Nasdaq,43444218.0,,,,Large accelerated filer,1231.0,DE,DE,5083731100,,377 SIMARANO DRIVE,,MARLBOROUGH,MA,01752,MA,377 SIMARANO DRIVE,,MARLBOROUGH,MA,01752,MA,334413,False,IPGP
816761,TERADATA CORP /DE/,operating,7372.0,Services-Prepackaged Software,06 Technology,0,1,TDC,NYSE,753236470.0,,,,Large accelerated filer,1231.0,,,866-548-8348,,17095 VIA DEL CAMPO,,SAN DIEGO,CA,92127,CA,17095 VIA DEL CAMPO,,SAN DIEGO,CA,92127,CA,"511210,334614",False,TDC
39899,TEGNA INC,operating,4833.0,Television Broadcasting Stations,06 Technology,1,1,TGNA,NYSE,160442930.0,,,,Large accelerated filer,1231.0,DE,DE,7038736600,,8350 BROAD STREET,SUITE 2000,TYSONS,VA,22102-5151,VA,8350 BROAD STREET,SUITE 2000,TYSONS,VA,22102-5151,VA,515120,False,TGNA
1526520,"TripAdvisor, Inc.",operating,7370.0,"Services-Computer Programming, Data Processing, Etc.",06 Technology,0,1,TRIP,Nasdaq,800743202.0,,,,Large accelerated filer,1231.0,DE,DE,781-800-5800,,400 1ST AVENUE,,NEEDHAM,MA,02494,MA,400 1ST AVENUE,,NEEDHAM,MA,02494,MA,"518210,541511",False,TRIP
1419612,"SOLAREDGE TECHNOLOGIES, INC.",operating,3674.0,Semiconductors & Related Devices,04 Manufacturing,0,1,SEDG,Nasdaq,205338862.0,,,,Large accelerated filer,1231.0,,,972 (9) 957-6620,,1 HAMADA STREET,,HERZILIYA PITUACH,L3,4673335,Israel,1 HAMADA STREET,,HERZILIYA PITUACH,L3,4673335,Israel,334413,False,SEDG
1599617,DNOW Inc.,operating,3533.0,Oil & Gas Field Machinery & Equipment,06 Technology,0,1,DNOW,NYSE,464191184.0,,,,Large accelerated filer,1231.0,DE,DE,281-823-4700,,7402 NORTH ELDRIDGE PARKWAY,,HOUSTON,TX,77041,TX,7402 NORTH ELDRIDGE PARKWAY,,HOUSTON,TX,77041,TX,333132,False,DNOW
78814,PITNEY BOWES INC /DE/,operating,3579.0,"Office Machines, NEC",06 Technology,0,1,"PBI,PBI-PB","NYSE,NYSE",60495050.0,,,,Large accelerated filer,1231.0,DE,DE,203-356-5000,,3001 SUMMER STREET,,STAMFORD,CT,06926-0700,CT,PITNEY BOWES INC,3001 SUMMER STREET,STAMFORD,CT,06926-0700,CT,"339940,333318,334519",False,"PBI,PBI-PB"
1770450,Xerox Holdings Corp,operating,3577.0,"Computer Peripheral Equipment, NEC",06 Technology,0,1,XRX,Nasdaq,833933743.0,,,,Large accelerated filer,1231.0,CT,CT,2038495216,,201 MERRITT 7,,NORWALK,CT,06851,CT,201 MERRITT 7,,NORWALK,CT,06851,CT,"334418,333316,334613,334118",False,XRX
61986,MANITOWOC CO INC,operating,3531.0,Construction Machinery & Equip,06 Technology,1,1,MTW,NYSE,390448110.0,,,,Accelerated filer,1231.0,WI,WI,9206522222,,11270 WEST PARK PLACE,SUITE 10000,MILWAUKEE,WI,53224,WI,11270 WEST PARK PLACE,SUITE 10000,MILWAUKEE,WI,53224,WI,"333120,333923,336510",False,MTW
1881551,Solidion Technology Inc.,operating,3690.0,"Miscellaneous Electrical Machinery, Equipment & Supplies",04 Manufacturing,0,1,STI,Nasdaq,871993879.0,,,,<br>Emerging growth company,1231.0,DE,DE,(972) 918-5120,,13355 NOEL ROAD,SUITE 1100,DALLAS,TX,75240,TX,13355 NOEL ROAD,SUITE 1100,DALLAS,TX,75240,TX,"333618,333318,333992,335129,335999",False,STI
1621672,"Super League Enterprise, Inc.",operating,7373.0,Services-Computer Integrated Systems Design,06 Technology,0,1,SLE,Nasdaq,471990734.0,,,,<br>Emerging growth company,1231.0,DE,DE,802-294-2754,,"2912 COLORADO AVE, STE 203",,SANTA MONICA,CA,90404,CA,"2912 COLORADO AVE, STE 203",,SANTA MONICA,CA,90404,CA,541512,False,SLE
